season,team,plays_per_game,off_ppa,off_success,def_ppa_rush,def_ppa_pass
2026,Air Force,84.0,0.33835948054856496,0.4,0.15,0.25
2026,Akron,76.9,0.20916845337060888,0.4,0.15,0.25
2026,Alabama,74.6,0.2411451715382133,0.4,0.15,0.25
2026,App State,76.7,0.39062474991387225,0.4,0.15,0.25
2026,Arizona,71.5,0.20259604733682696,0.4,0.15,0.25
2026,Arizona State,62.3,0.29252008402038654,0.4,0.15,0.25
2026,Arkansas,81.5,0.1269751836305171,0.4,0.15,0.25
2026,Arkansas State,70.8,0.28498635180384696,0.4,0.15,0.25
2026,Army,77.7,0.4513275862029694,0.4,0.15,0.25
2026,Auburn,80.0,0.17125924011897398,0.4,0.15,0.25
2026,Ball State,60.9,0.03599724849788289,0.4,0.15,0.25
2026,Baylor,82.7,0.18620971417526927,0.4,0.15,0.25
2026,Boise State,74.6,0.29565037896366897,0.4,0.15,0.25
2026,Boston College,71.5,0.12518315258811122,0.4,0.15,0.25
2026,Bowling Green,66.3,0.06401420289313416,0.4,0.15,0.25
2026,Buffalo,65.6,0.10388694559084069,0.4,0.15,0.25
2026,BYU,69.8,0.5050841780417508,0.4,0.15,0.25
2026,California,68.8,0.05739594873502973,0.4,0.15,0.25
2026,Central Michigan,61.1,0.0009162919952731189,0.4,0.15,0.25
2026,Charlotte,72.5,0.17937693515380565,0.4,0.15,0.25
2026,Cincinnati,74.1,0.4308894900707281,0.4,0.15,0.25
2026,Clemson,58.0,-0.16893235731701892,0.4,0.15,0.25
2026,Coastal Carolina,60.0,0.24397311080943232,0.4,0.15,0.25
2026,Colorado,75.5,0.2556512015157022,0.4,0.15,0.25
2026,Colorado State,63.2,0.397085792764884,0.4,0.15,0.25
2026,Delaware,60.4,0.1629162918923445,0.4,0.15,0.25
2026,Duke,73.6,0.14094645847304352,0.4,0.15,0.25
2026,East Carolina,58.0,0.11534367745767375,0.4,0.15,0.25
2026,Eastern Michigan,62.3,0.03407702247476698,0.4,0.15,0.25
2026,Florida,71.5,0.5528032098410223,0.4,0.15,0.25
2026,Florida Atlantic,84.0,0.15031887294107968,0.4,0.15,0.25
2026,Florida International,78.0,0.14677081477499673,0.4,0.15,0.25
2026,Florida State,73.1,0.24246916941892327,0.4,0.15,0.25
2026,Fresno State,62.9,0.09669767148709607,0.4,0.15,0.25
2026,Georgia,58.0,0.6848002386715024,0.4,0.15,0.25
2026,Georgia Southern,64.4,0.11567540882698246,0.4,0.15,0.25
2026,Georgia State,73.6,0.4035931543627249,0.4,0.15,0.25
2026,Georgia Tech,75.6,0.040647235947850115,0.4,0.15,0.25
2026,Hawai'i,74.6,0.039292314996908814,0.4,0.15,0.25
2026,Houston,72.5,0.5259195891574657,0.4,0.15,0.25
2026,Illinois,80.5,0.3097642098350352,0.4,0.15,0.25
2026,Indiana,64.8,0.6069856129350656,0.4,0.15,0.25
2026,Iowa,69.5,0.046087097748506264,0.4,0.15,0.25
2026,Iowa State,58.0,0.15421331209490588,0.4,0.15,0.25
2026,Jacksonville State,76.4,0.18385755260462533,0.4,0.15,0.25
2026,James Madison,64.6,0.48652743848611696,0.4,0.15,0.25
2026,Kansas,75.7,0.36796468118362036,0.4,0.15,0.25
2026,Kansas State,74.0,0.3779525191630457,0.4,0.15,0.25
2026,Kennesaw State,67.2,0.237900508265207,0.4,0.15,0.25
2026,Kent State,66.5,0.1148321013675455,0.4,0.15,0.25
2026,Kentucky,66.8,0.17570409804046053,0.4,0.15,0.25
2026,Liberty,68.0,-0.02729603273896462,0.4,0.15,0.25
2026,Louisiana,69.1,0.3088388980374614,0.4,0.15,0.25
2026,Louisiana Tech,58.0,0.17389157309077818,0.4,0.15,0.25
2026,Louisville,61.8,0.48468217748139614,0.4,0.15,0.25
2026,LSU,80.9,0.24783532550401344,0.4,0.15,0.25
2026,Marshall,58.0,-0.022746786306139057,0.4,0.15,0.25
2026,Maryland,75.8,0.3840499699888678,0.4,0.15,0.25
2026,Massachusetts,63.0,0.3734987579677579,0.4,0.15,0.25
2026,Memphis,60.7,0.296526739160784,0.4,0.15,0.25
